online_shop,product_id,product_key,shop_name,view_count,sold_count,rating_average,review_count,kategori_penjualan
tokopedia,1317650568,baju-batik-couple-kemeja-batik-pria-modern-lengan-pendek-atasan-wanita-kemeja-pria-m,batikjuragan-1,3830,198,4.6,15,Atas
tokopedia,1053159128,ftsl-ppss-kemeja-polos-putih-pria-lengan-pendek-simple-baju-katun-cowo-navy-l,ftslapparel,13642,194,4.2,87,Atas
tokopedia,1628593430,kemeja-unisex-erigo-short-shirt-moon-katun-mocca-s,erigo,14757,197,4.7,103,Atas
tokopedia,1410254386,sipolos-kaos-kerah-polo-shirt-pria-katun-lacoste-30s-basic-white-l,sipolosofficialshop,4677,184,4.8,74,Atas
tokopedia,1741467030,marks-spencer-kaos-pria-pure-cotton-crew-neck-t-shirt-mss5311m-dustyblue-m,marksspencer,3336,190,4.9,73,Atas
tokopedia,193119542,tumblr-tee-t-shirt-kaos-pria-lengan-pendek-ny-warna-hitam,ellipses,24279,188,4.6,51,Atas
tokopedia,1845836914,kaos-unisex-erigo-t-shirt-nba-life-cotton-combed-mustard-s,erigo,8035,190,4.9,113,Atas
tokopedia,1027819729,kaos-pria-import-kaos-santai-baju-santai-kaos-polos-pria-pendek-merah-m,brotherholicstor,25212,189,4.6,52,Atas
tokopedia,1687125935,kaos-unisex-erigo-t-shirt-surf-girl-cotton-combed-white-s,erigo,24481,188,4.9,120,Atas
tokopedia,1634057201,kaos-unisex-erigo-t-shirt-surfing-company-cotton-combed-grey-misty-s,erigo,7227,188,4.8,123,Atas
tokopedia,1673660981,kaos-unisex-erigo-t-shirt-hiyama-surfing-cotton-combed-olive-s,erigo,9890,188,4.9,127,Atas
tokopedia,1633362580,kaos-unisex-erigo-t-shirt-drag-way-cotton-combed-navy-s,erigo,8051,186,4.9,113,Atas
tokopedia,1687125819,kaos-unisex-erigo-t-shirt-kuniyoshi-black-s,erigo,11681,185,4.8,108,Atas
tokopedia,1395054361,torch-t-shirt-evocot-kaos-cabral-green-m,torch-id,16456,183,4.9,123,Atas
tokopedia,876998600,polo-country-striped-collar-polo-shirt-kk-stripe-hijau-xl,polocountryid,12345,185,4.9,97,Atas
tokopedia,651623286,human-greatness-t-shirt-brown-s,humangreatness,4806,185,4.9,115,Atas
tokopedia,1847509981,kaos-unisex-erigo-t-shirt-erigo-hockey-cotton-combed-black-s,erigo,4737,183,4.9,120,Atas
tokopedia,1687125780,kaos-unisex-erigo-t-shirt-speed-away-cotton-combed-black-s,erigo,12596,152,4.9,102,Atas
